acc,superkingdom,phylum
AHZ34233.1,NA,NA
AHZ34233.1,NA,NA
AEI70245.1,NA,NA
AEI70245.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
AAM78457.1,NA,NA
CAB39315.1,NA,NA
CAB39315.1,NA,NA
CAB39315.1,NA,NA
CAB38517.1,NA,NA
CAB38517.1,NA,NA
CAB38517.1,NA,NA
AIW82277.1,NA,NA
AIW82277.1,NA,NA
AIW82282.1,NA,NA
AIW82283.1,NA,NA
AIW82283.1,NA,NA
AIW82284.1,NA,NA
AIW82284.1,NA,NA
AIW82284.1,NA,NA
AIW82285.1,NA,NA
EFE73308.1,NA,NA
AGS77307.1,NA,NA
AGS77307.1,NA,NA
AGS77308.1,NA,NA
AGS77309.1,NA,NA
AGS77309.1,NA,NA
AGS77310.1,NA,NA
WP_010369425.1,NA,NA
WP_010369428.1,NA,NA
WP_010369428.1,NA,NA
WP_010369430.1,NA,NA
WP_010369430.1,NA,NA
AEU11003.1,NA,NA
AEU11003.1,NA,NA
AEU11003.1,NA,NA
AEU11003.1,NA,NA
AEU11006.1,NA,NA
AEU11006.1,NA,NA
CAB38084.1,NA,NA
BAO84861.1,NA,NA
BAO84866.1,NA,NA
BAO84868.1,NA,NA
BAO84864.1,NA,NA
CAD92851.1,NA,NA
CAD92851.1,NA,NA
CAD92851.1,NA,NA
CAD92851.1,NA,NA
CAD92851.1,NA,NA
CAD92851.1,NA,NA
AGM14925.1,NA,NA
AGM14925.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14933.1,NA,NA
AGM14934.1,NA,NA
AGM14934.1,NA,NA
AGM14934.1,NA,NA
AGM14934.1,NA,NA
AAX16325.1,NA,NA
AAX16325.1,NA,NA
AAX16325.1,NA,NA
CAA40561.1,NA,NA
CAA40561.1,NA,NA
CAA40561.1,NA,NA
EOY45602.1,NA,NA
AAT09804.1,NA,NA
AAT09804.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21228.1,NA,NA
AHF21229.1,NA,NA
AHF21229.1,NA,NA
AHF21229.1,NA,NA
AEC14348.1,NA,NA
AEC14346.1,NA,NA
AEC14346.1,NA,NA
AEC14347.1,NA,NA
YP_116975.1,NA,NA
YP_116976.1,NA,NA
YP_116977.1,NA,NA
WP_069322367.1,NA,NA
WP_069322367.1,NA,NA
WP_069322367.1,NA,NA
CBJ79915.1,NA,NA
CBJ79915.1,NA,NA
CBJ79915.1,NA,NA
CBJ79916.1,NA,NA
CBJ79916.1,NA,NA
CBJ79916.1,NA,NA
AHZ20773.1,NA,NA
AHZ20773.1,NA,NA
AHZ20781.1,NA,NA
AHZ20781.1,NA,NA
AHZ20784.1,NA,NA
AHZ20784.1,NA,NA
AGZ03650.1,NA,NA
AGZ03651.1,NA,NA
